,image_name,class
0,Cardboard_1.jpg,Cardboard
1,Cardboard_10.jpg,Cardboard
2,Cardboard_100.jpg,Cardboard
3,Cardboard_101.jpg,Cardboard
4,Cardboard_102.jpg,Cardboard
5,Cardboard_103.jpg,Cardboard
6,Cardboard_104.jpg,Cardboard
7,Cardboard_105.jpg,Cardboard
8,Cardboard_106.jpg,Cardboard
9,Cardboard_107.jpg,Cardboard
10,Cardboard_108.jpg,Cardboard
11,Cardboard_109.jpg,Cardboard
12,Cardboard_11.jpg,Cardboard
13,Cardboard_110.jpg,Cardboard
14,Cardboard_111.jpg,Cardboard
15,Cardboard_112.jpg,Cardboard
16,Cardboard_113.jpg,Cardboard
17,Cardboard_114.jpg,Cardboard
18,Cardboard_115.jpg,Cardboard
19,Cardboard_116.jpg,Cardboard
20,Cardboard_117.jpg,Cardboard
21,Cardboard_118.jpg,Cardboard
22,Cardboard_119.jpg,Cardboard
23,Cardboard_12.jpg,Cardboard
24,Cardboard_120.jpg,Cardboard
25,Cardboard_121.jpg,Cardboard
26,Cardboard_122.jpg,Cardboard
27,Cardboard_123.jpg,Cardboard
28,Cardboard_124.jpg,Cardboard
29,Cardboard_125.jpg,Cardboard
30,Cardboard_126.jpg,Cardboard
31,Cardboard_127.jpg,Cardboard
32,Cardboard_128.jpg,Cardboard
33,Cardboard_129.jpg,Cardboard
34,Cardboard_13.jpg,Cardboard
35,Cardboard_130.jpg,Cardboard
36,Cardboard_131.jpg,Cardboard
37,Cardboard_132.jpg,Cardboard
38,Cardboard_133.jpg,Cardboard
39,Cardboard_134.jpg,Cardboard
40,Cardboard_135.jpg,Cardboard
41,Cardboard_136.jpg,Cardboard
42,Cardboard_137.jpg,Cardboard
43,Cardboard_138.jpg,Cardboard
44,Cardboard_139.jpg,Cardboard
45,Cardboard_14.jpg,Cardboard
46,Cardboard_140.jpg,Cardboard
47,Cardboard_141.jpg,Cardboard
48,Cardboard_142.jpg,Cardboard
49,Cardboard_143.jpg,Cardboard
50,Cardboard_144.jpg,Cardboard
51,Cardboard_145.jpg,Cardboard
52,Cardboard_146.jpg,Cardboard
53,Cardboard_147.jpg,Cardboard
54,Cardboard_148.jpg,Cardboard
55,Cardboard_149.jpg,Cardboard
56,Cardboard_15.jpg,Cardboard
57,Cardboard_150.jpg,Cardboard
58,Cardboard_151.jpg,Cardboard
59,Cardboard_152.jpg,Cardboard
60,Cardboard_153.jpg,Cardboard
61,Cardboard_154.jpg,Cardboard
62,Cardboard_155.jpg,Cardboard
63,Cardboard_156.jpg,Cardboard
64,Cardboard_157.jpg,Cardboard
65,Cardboard_158.jpg,Cardboard
66,Cardboard_159.jpg,Cardboard
67,Cardboard_16.jpg,Cardboard
68,Cardboard_160.jpg,Cardboard
69,Cardboard_161.jpg,Cardboard
70,Cardboard_162.jpg,Cardboard
71,Cardboard_163.jpg,Cardboard
72,Cardboard_164.jpg,Cardboard
73,Cardboard_165.jpg,Cardboard
74,Cardboard_166.jpg,Cardboard
